교차로코드,교차로명칭,지번,X좌표,Y좌표
1954,금천교,1085도,189732.9449,540610.2303
1369,세이브마트,808-647 천,192709.6466,541620.0457
1413,안양천삼거리,759-6전,190383.6982,539503.1179
1370,남강중,598-139대,192858.9196,541458.6528
1371,관악우림시장,1678-14대,192923.6016,541182.2016
1692,가로수길교차로,394 도,201975.7938,547180.6433
1721,청담진흥아파트,111-44 도,204650.7764,546641.9014
1414,안천초교,1092도,190249.7645,539813.9643
1712,논현지구대,28-3 대,202225.3066,545866.2181
1463,대림역,125-84천,190777.2722,543648.7166
1415,독산한신아파트,1092도,190139.9304,539754.7798
752,서울여고,160-68도,195254.3418,549608.4797
1303,국제산장아파트,산78-8도,193573.1685,540075.9658
1432,동양미래대학교,산55-1임,188284.8905,544466.6215
1372,영광교회,639-11도,192966.5599,540844.1935
1374,봉림교(연등)2,1472-4전,193295.551,542880.9078
1726,아크로힐스논현아파트,265-25 대,203543.023,545522.2336
1416,문성중(연등)2,1730 대,191952.0163,541944.2618
1727,삼성2동주민센터앞,28 학,204077.8443,545720.5506
1419,독산현대아파트입구(연등),300-15 대,190563.419,540796.1339
1464,대림역동측,722-11대,190889.3798,543727.723
1471,IBK기업은행대림동지점,682-2대,191019.7381,544315.7906
102,양남사거리,19-1도,190277.994,546981.4282
1375,창대카센터,1448-1대,193187.6422,543007.416
1377,주생빌딩(연등),395공,192794.4888,543337.2539
226,박석고개,1-1 도,192925.1601,558588.6345
1729,삼성힐스테이트2단지앞,22-3 대,204517.1523,545881.8736
1378,주생빌딩,395공,192654.023,543298.7349
1433,한마을아파트,69-11도,187864.2,544139.588
1472,대림3동사거리(연등)2,697도,191066.6183,544175.4727
1420,빅마켓금천점(연등),151-4대,190809.9741,541168.1509
1693,광림교회,667-35 도,202122.5932,547272.0117
1421,난곡치안센터,612-41대,192906.7239,541337.8711
1379,한양빌딩앞,,192487.3304,543177.3327
1402,가산두산아파트,146-10대,190601.51,541729.5737
525,중계역,503-3도,205638.7994,560661.6937
1422,벽산5단지입구,산100-43임,193001.5901,538947.4606
1730,봉은공원,74-4 학,204982.6259,546007.9081
1701,영동호텔,544-17 대,202042.6325,546457.6151
1423,시흥사거리(연등)1,872-2 대,191286.5508,539490.6952
1694,광림교회(연등),667-35 도,202323.7419,547397.4527
1731,봉은사앞,172-3 도,205130.4021,546041.4114
6538,연세대(연등),,194517.3886,551170.6853
1404,가산디지털단지역,34-83철,189651.4126,542476.5629
1442,동부제강앞(연등),311-6 도,185471.0853,543679.8207
1443,동부제강앞,311-6 도,185339.3158,543636.5552
1714,국제빌딩앞,279-124 도,202525.8872,545982.9323
6625,오륜주유소,,212439.359,545557.5487
1703,삼화콘덴서,595-6 대,202696.1506,546772.0098
1405,삼성물산,239-17도,189927.052,541649.8474
1704,삼화콘덴서(연등),627-15 대,202807.0622,546817.3301
1444,동부제강입구,311-5도,185201.6962,543588.0549
1426,가산디지털단지역(연등),50-6도,189682.9526,542361.3301
1434,영화아파트,177-1도,187587.9126,544174.034
1450,오금교남단,285-38천,188921.0106,545314.1253
5961,칠궁,,197593.8971,553892.0493
1473,대림우성2차아파트(연등),744-3대,191105.3361,544060.8361
1474,대림1동공영주차장앞,760-19도,191262.6275,543762.7614
1427,신도림대우푸르지오,329-1 제,190141.4735,545536.2018
1722,봉은초교,111-2 도,205160.9237,546780.736
1383,조원아파트사거리,696-16대,191829.165,542698.8457
1475,대림공원,887-1대,191373.7758,543586.003
1680,신길우성2차아파트(연등)1,3573대,192037.3648,544420.735
1445,동부제강입구(연등),311-5도,185098.8917,543562.2242
6222,목화예식장(경보),,190397.8745,547264.9592
6295,시흥IC,,191061.9331,542172.9196
1681,신길우성2차아파트(연등)2,2191대,192268.1788,544400.3291
5660,장지프라자,,211296.5675,541996.2197
1446,온수역입구(연등),327도,184748.0894,543506.0286
1476,대림우체국,935-14대,191541.2014,543401.2067
1344,법원단지(연등),378-317대,191571.4512,540172.8303
1384,공단우체국,1103-11천,191031.9634,542699.7157
1385,공단우체국(연등)1,1271 대,190897.3945,542717.2449
1696,압구정파출소,394 도,203119.2559,547736.8968
1723,르메르디앙서울호텔,172-15 도,202491.5952,545123.2104
1728,삼릉초교,26-8 대,204252.2229,545783.1118
1447,온수역입구,산46-1임,184601.1548,543432.8084
1448,유한공고,110도,184479.0196,543315.9334
1429,신도림주민센터,413-2도,189707.9561,545144.7754
1697,압구정한양아파트,394 도,203264.5659,547699.9788
1715,학동치안센터,279-106 도,202918.9779,546136.0998
1449,유한공고앞,산17-4임,184401.5187,543269.0344
5403,새우개고개,,209241.4644,557761.7906
1362,미성초교,1482-8대,192285.2758,541998.3274
1386,디지털1단지,197-2도,190746.7255,542797.6593
1388,대명전자삼거리,282-37도,190578.8776,542549.69
1451,구로미성아파트,611-20도,189088.0601,545144.2889
1483,대림1동주민센터,447-10대,191748.4395,544002.7194
1381,신림현대아파트앞(연등),618-20대,192096.5402,542918.0565
1389,구로남초교,256-1 대,190307.7255,542740.7259
1407,독산1동천주교,335-19도,190288.3124,541228.274
1452,구로미성아파트(연등),604-15도,189214.1186,545011.9161
1346,시흥4동사거리(연등)1,1039-2대,191443.7519,540499.3729
1408,독산역,1081-4도,190229.8359,540794.9963
1724,삼정호텔정문,800-8 도,202775.7212,545231.3477
1477,구로1교,1064-3천,190971.2395,543141.0727
1391,영일초교(경보),31-19도,189658.5715,542789.6188
1435,한국컨벤션웨딩,98-109대,187203.2203,544211.7216
1436,한영대학교,311-11대,186947.1594,544280.4916
1441,온수삼거리,331-4철,185625.8988,543763.6175
1705,도산공원(연등),279-1 도,203178.6134,546964.8442
1347,정훈단지,1022-54대,191399.367,540583.9471
1437,오류IC,90-83 대,186466.5162,544248.9189
1683,동작상떼빌104동앞,700-2도,191899.328,543137.8842
1478,신대림한솔파크입구,1072-24대,191080.7487,543255.7561
1393,디지털3단지,371-27도,189457.026,541827.8824
1438,오류IC(연등),68-28대,186349.4341,544160.6779
1425,벽산밸리5차,60-42장,189826.5474,541962.8679
1397,독산초교,196-22대,191115.1866,540787.8426
1398,한일유엔아이아파트,524-1도,189077.8456,542915.9452
1306,서울대교수아파트,266공,196279.038,541015.361
1698,갤러리아압구정(연등),491 도,203464.1647,547634.1289
1286,국회단지길입구,982-3도,194638.284,542973.6396
1287,국회단지길입구(연등)1,산 104-9 공,194525.5079,542983.2773
1288,GS슈퍼마켓(연등),870-12대,195593.8509,542164.4501
1289,영락고교입구(연등),884-27대,195356.1643,542194.9999
1290,영락고교입구,893-27대,195213.6963,542212.0482
1291,E편한세상서울대입구,912-16대,195089.3667,542228.7048
1312,구로전화국(연등),1656대,191384.3738,542249.3816
1314,구로디지털단지역,1122도,191401.9921,542787.3155
1315,독산고개,146-12대,191030.5745,541820.421
1316,독산고개(연등),967-14대,191015.3187,541596.0817
1317,군부대앞,1056-4대,190987.0524,540168.1736
1318,문일중고,1000-92도,191315.6936,539113.9144
1319,유통상가정문,1001-9도,191484.8462,538269.7749
1321,박미삼거리(연등)1,1000-92도,191452.7647,538658.0218
1264,충무교,839-4도,194298.3569,541637.5402
1322,유통상가정문(연등),1001-11도,191470.5686,538140.4765
1323,SK주유소,1001-34도,191419.3671,537563.6148
1324,석수역,962-8대,191416.8522,537409.374
1325,백산초교,896-11대,191573.3483,538845.6693
1326,백산초교(연등),837-44대,191654.2763,538945.8258
1453,수동물병원,496-128도,189922.3684,544355.5801
1292,관악성모의원,979-7도,194902.2655,542248.4825
1293,쑥고개,1693-13도,194693.7984,542109.3542
1294,삼성동주민센터(연등)2,112-42대,194091.4544,541191.3482
1295,삼성동주민센터,808-1천,194049.8028,541095.5353
1296,삼성동주민센터(연등)1,808-418천,193979.2775,540933.9156
1297,미림여고(연등)1,산66-3도,193931.7844,540763.0106
