Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest,?????????,?????•Ë??,X???,Y???
1839,223.0,223.0,,,,,,,1839,????????107??,37.48987821,126.95353064
1863,179.0,179.0,889.0,889.0,,,,,1863,???????,37.48105597,127.05374051
1620,,,57.0,,,,,,1620,????????(????),37.49789166,126.90818731
1819,495.0,495.0,395.0,395.0,,,,,1819,??????,37.52064379,127.04001777
1817,209.0,209.0,209.0,209.0,,,,,1817,??????,37.5246492,127.03958055
1821,843.0,843.0,303.0,303.0,,,,,1821,?????????(????),37.51614729,127.04165771
1812,,,59.0,1209.0,769.0,,59.0,,1812,??????,37.48594779,126.94694592
1865,,,36001.0,36001.0,36001.0,,36001.0,,1865,????????????????,37.4787632,127.04748126
4762,803.0,,3.0,,,,,,4762,???????(??),37.50342557,127.1161306
4760,,,867.0,,,,,,4760,??????????(????)1,37.51109868,127.10701465
4761,,,171.0,,,,,,4761,????2???£⁄A(??),37.50495916,127.12029199
4763,,,3.0,,,,,,4763,????????,37.50837722,127.13048616
1816,,,785.0,,,,,,1816,???????????(????)2,37.49552552,127.04608993
157,,,,161.0,,,,,157,?ïX??????,37.51356321,126.94023585
1820,801.0,801.0,351.0,301.0,,,,,1820,??????(????)2,37.51924516,127.04051117
4765,,,267.0,,,,,,4765,???????(??),37.50798628,127.1367452
4764,,,109.0,,,,,,4764,??????????(??),37.50844355,127.14051907
2588,,99.0,,,,,,,2588,???????????,37.52406108,126.89625415
2697,,83.0,,,,,,,2697,"1,2??????",37.53475812,126.98075715
4552,,,143.0,,,,,,4552,??????????????,37.51909579,126.85339778
640,,,939.0,,,,,,640,??????????,37.49550969,126.95433207
151,315.0,315.0,235.0,995.0,,,,,151,???????,37.54803841,127.02577397
2580,497.0,497.0,497.0,497.0,,,,,2580,????????,37.52260957,126.88778294
2428,,,,,1323.0,123.0,,,2428,????????,37.53788254,127.08906229
3457,,,,,1215.0,,,,3457,?????????,37.56693038,127.06222908
2308,,,,,,417.0,,,2308,????1????•Ï???,37.49037399,127.12411139
1867,,,,,,365.0,,,1867,????4??(??????),37.49986106,127.14165439
1830,563.0,563.0,563.0,563.0,,,,,1830,???2?????,37.52250399,127.04826842
156,,,,,,,113.0,,156,????????????,37.52611096,126.90285104
1851,423.0,,,,,,,,1851,??????????,37.49840041,127.06888795
1999,969.0,,289.0,529.0,,,,1429.0,1999,??????(????)2,37.4876298,127.10263932
3126,317.0,317.0,,227.0,,,,,3126,DMC????????????,37.57856415,126.92247652
1857,301.0,,,,,,,,1857,????5??,37.48907721,127.06600733
3225,,,,,,,,199.0,3225,?ïü??????,37.58298272,127.09353432
1813,,75.0,75.0,75.0,,,,,1813,??????(????),37.48488912,126.9467297
1815,,583.0,1493.0,,,,,,1815,?ØC??????,37.49665992,127.0455706
2262,,25.0,325.0,,,,,,2262,????????102????(????),37.55571575,127.15860885
1463,,,,,36001.0,36001.0,,,1463,?ïõ??,37.4922467,126.89571132
3068,,,,,,,487.0,,3068,?•Î??????,37.63482847,127.02551287
1826,,,561.0,561.0,1191.0,,1191.0,,1826,???????????,37.49878496,127.05170558
111,,,,36001.0,,,,,111,?ïõ?±p2???????,37.49484422,126.89994154
616,,520.0,520.0,520.0,,,,,616,??????????,37.5012788,126.98669772
3331,36001.0,,36001.0,36001.0,,,,,3331,?????(??),37.59973441,127.0814924
1864,,,21.0,21.0,,,,,1864,???????????,37.48317762,127.05260334
158,,,681.0,1271.0,,,,,158,??????,37.51110133,127.02132978
1854,,910.0,,,,,,,1854,??????????,37.49255998,127.07625495
917,879.0,879.0,879.0,879.0,,,,,917,?????????????????,37.5501034,126.94390212
1843,36001.0,,,,,,,,1843,???????¨“?,37.49228767,126.9489679
1611,,41.0,,,,,,,1611,?óµ???,37.50232898,126.90433225
1506,261.0,261.0,261.0,261.0,,,,,1506,??????,37.49900783,126.89605757
3558,,959.0,,,,,,,3558,?????????,37.59044954,127.01695077
4545,,,,,,,,,4545,??????,37.52740422,126.85604287
2872,763.0,,133.0,53.0,,,,,2872,????????,37.53924041,126.82408277
2875,36001.0,36001.0,36001.0,36001.0,,,,,2875,?????,37.56450876,126.8062399
2876,630.0,630.0,0.0,0.0,,,,,2876,?????????????,37.56769944,126.80521756
2884,23.0,,,,,123.0,,123.0,2884,????????????,37.55024106,126.87304101
2901,,,,,750.0,,,60.0,2901,????????(????)2,37.57339218,126.81557176
2878,253.0,183.0,1143.0,1213.0,,,,,2878,????????,37.57904398,126.79973887
1835,520.0,,160.0,160.0,,,,,1835,????????,37.5105879,127.05465019
2896,1432.0,1432.0,,,,242.0,,242.0,2896,?????????????,37.57293956,126.82636251
2905,,,,207.0,,,,,2905,????Ög(????)2,37.57213533,126.80744282
2907,,431.0,371.0,,,,,,2907,?????•Í??,37.53863578,126.84248793
2906,295.0,,745.0,,,,,,2906,??????(????),37.52960864,126.84793746
2904,,,,,,,,,2904,????Ög(????)1,37.57260139,126.80597576
3266,,370.0,,,,,,,3266,??????,37.5844478,127.08354288
2900,,,,,,,,,2900,????????,37.57334116,126.81674715
