Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest
2907,,441.0,381.0,,,,,
2906,305.0,,755.0,,,,,
2904,,,,,,,,
3266,,380.0,,,,,,
2900,,,,,,,,
2899,,,,,,,,139.0
22899,,,,,,,,137.0
1929,,,36001.0,,,,,
793,,,,,,,,36001.0
2895,,36001.0,36001.0,,,,,
2407,,,,,,,313.0,
2897,687.0,207.0,687.0,207.0,,,,
2877,,,,27.0,,,,
2864,,,,,,,,
32864,,,,1065.0,,,,
52864,,,,1065.0,,,,
62864,,,,1065.0,,,,
2867,,,,,369.0,389.0,,
2823,,,,,36001.0,36001.0,36001.0,36001.0
22823,,,,,36001.0,,,
2829,,,,,131.0,201.0,,
3265,,,,,,919.0,,
2910,200.0,,900.0,,,,,
2879,219.0,219.0,279.0,279.0,,,,
2865,503.0,503.0,93.0,93.0,,,,
22865,,,,91.0,,,,
2830,,,,,1217.0,,,717.0
2889,1117.0,1117.0,,,,,,
2902,,,,,,183.0,,
22902,,,,,,181.0,,
32902,,,,,,181.0,,
2817,,,,,,,,479.0
2886,,,,,,29.0,,
2885,,,71.0,71.0,1.0,,1.0,
4781,,,,397.0,,,,
2912,,,,439.0,,,,
2871,1127.0,127.0,387.0,,,,,
22871,,,,385.0,,,,
3146,,,,,,,,549.0
2870,999.0,999.0,339.0,559.0,,,,
1921,,,,,,493.0,,
2869,,,217.0,217.0,967.0,,967.0,
2819,,,,,,485.0,,
2822,721.0,721.0,151.0,151.0,,,,
2913,,,,36001.0,,,,
31946,,,,36001.0,,,,
21835,,529.0,169.0,169.0,,,,
21850,,715.0,415.0,415.0,,,,
23331,,36001.0,36001.0,36001.0,,,,
21864,29.0,29.0,29.0,29.0,,,,
20158,,,693.0,693.0,,,,
3967,180.0,180.0,180.0,180.0,,,,
2866,,,111.0,111.0,,,,
458,293.0,293.0,263.0,293.0,,,,
20458,293.0,,293.0,,,,,
32865,503.0,,,,,,,
938,127.0,127.0,387.0,387.0,,,,
20938,129.0,,,,,,,
22864,195.0,,,,,,,
42864,,195.0,,,,,,
22870,337.0,,,,,,,
2862,765.0,765.0,765.0,765.0,,,,
2696,,,,,,197.0,,
2903,,,,,,,,
22903,,,,,,,,
22904,,,,,,,,
4755,,,,360.0,,,,
2117,,,,,277.0,857.0,207.0,1307.0
2638,237.0,,167.0,1017.0,,,,
734,,,,1117.0,,97.0,,
2359,,36001.0,,36001.0,,,,
1971,,,36001.0,,,,,
2382,,,,,,1185.0,,
2582,,,,,,,36001.0,1143.0
932,,,,,,36001.0,36001.0,36001.0
1963,,,,,,25.0,,
2423,583.0,583.0,3.0,533.0,,,,
2374,127.0,127.0,57.0,,,,,
3392,,,,69.0,,,,
1383,,,99.0,,,,,
910,,,1459.0,,,,,
2378,36001.0,36001.0,,,,36001.0,,36001.0
2340,,,36001.0,,,,,
2326,,,36001.0,,,,,
2352,,,36001.0,,,,,
2393,,,,111.0,991.0,291.0,991.0,291.0
2040,,,,,,,,
2349,,,,,9.0,,9.0,1249.0
22349,,,,,,909.0,,
2342,,,,,,1223.0,,
2379,,309.0,,229.0,,,,
186,,,,,,,,
2317,137.0,137.0,927.0,927.0,,,,
22379,,,,,,1051.0,,
1224,303.0,243.0,653.0,653.0,,,,
1225,,,,600.0,,,,
1226,57.0,,437.0,827.0,,,,
1228,,91.0,36001.0,911.0,,,,
1229,,,563.0,,,,,
3930,,,609.0,,,,,
1230,,,607.0,,,,,
1069,267.0,267.0,867.0,867.0,,,,
2264,591.0,191.0,,,,191.0,,591.0
2430,36001.0,36001.0,36001.0,36001.0,,,,
402,,,36001.0,36001.0,36001.0,,36001.0,
401,,,,,355.0,845.0,,
1168,,,,,103.0,,183.0,
21168,,,,,,105.0,,
645,,,,,141.0,,,141.0
646,69.0,,,,,,,
2705,,,36001.0,36001.0,36001.0,,36001.0,
22705,,,,,,36001.0,,
985,,,,,36001.0,36001.0,,36001.0
858,,,,,36001.0,36001.0,36001.0,36001.0
648,,,,,,1247.0,,
20648,,,,,,1247.0,,
30648,,,,,,1247.0,,
40648,,,,,,1247.0,,
412,,,,,1173.0,,,
1086,,,,,,,1185.0,
410,,,,,,297.0,1167.0,297.0
20410,,,,,1167.0,,,
643,,,,,125.0,,,
20643,,,,,,,123.0,
409,,,,,,169.0,1199.0,169.0
20409,,,,,,,1195.0,
408,,,,,1193.0,,,
20408,,,,,1195.0,,,
644,,311.0,,,,,,
20644,,309.0,,,,,,
423,,,,,,23.0,,
20423,,,,,,25.0,,
420,,,,,360.0,290.0,360.0,90.0
417,,,,,1083.0,1083.0,1083.0,1083.0
416,,,,,,1199.0,149.0,1199.0
20416,,,,,,,,
414,1090.0,1090.0,280.0,280.0,,,,
20414,,36001.0,,,,,,
411,,,,,,,1251.0,
406,59.0,,,409.0,,,,
20406,61.0,,,,,,,
432,,,,,161.0,101.0,161.0,961.0
430,,,,,,1080.0,,
429,36001.0,36001.0,,,36001.0,,36001.0,
427,,,,,,107.0,,
425,,,,,,111.0,,
426,,,,,,211.0,271.0,
424,,,,,219.0,1049.0,219.0,
672,,,,,,,163.0,
213,,,,,571.0,,,
214,,,,,535.0,945.0,135.0,945.0
673,,,471.0,,,471.0,471.0,
671,,,,,181.0,,,
209,,,,,209.0,,,309.0
4789,,,,,,127.0,1047.0,
210,,,,,,,501.0,
211,,,,,,,485.0,
212,,,,,729.0,69.0,409.0,
215,251.0,,,,,201.0,,
2479,,,,,,,402.0,
748,1093.0,,,153.0,,,,
20748,1095.0,,,,,,,
467,1129.0,,,,,,,
3148,,,,,773.0,,773.0,
23148,,,,,,,773.0,
1109,,,,,1057.0,127.0,1057.0,127.0
3150,,,,,,,36001.0,
3149,,1003.0,,,,,,
1426,,821.0,,,,,,
468,,,,,36001.0,36001.0,36001.0,36001.0
3864,,,,,789.0,,,139.0
23864,,,,,929.0,139.0,,
470,,,,,1013.0,223.0,93.0,153.0
20470,,,,,1015.0,,,
1648,,,,,1099.0,289.0,879.0,
1649,769.0,,,,,,,
742,,,,,,,,20.0
2474,,,,,,877.0,337.0,877.0
2431,,,,,255.0,655.0,,
2445,,,,,,569.0,329.0,
2415,,,,,387.0,417.0,,
22415,,,,,,,387.0,
1662,,,,,,,335.0,
2435,,,,,,370.0,,
3962,,,,,,,761.0,
23962,,,,,,,761.0,
2458,,,709.0,709.0,,,,
22458,,,,,,,,
2444,,,895.0,,,,,
2500,,,,,,,,
22500,,447.0,,,,,,
2457,,,,,289.0,,,
2470,,,,,,761.0,,
2419,,,,,,29.0,769.0,
22419,,,,,769.0,,,
2408,,,,,,,67.0,
2434,,,,,311.0,371.0,311.0,
2443,,,,785.0,,,,
2465,,,,,,,,
2459,,699.0,699.0,699.0,,,,
3458,,,,,1421.0,461.0,1421.0,461.0
2456,,,,,180.0,,180.0,650.0
4004,425.0,,,795.0,,,,
2464,,,,,547.0,27.0,67.0,
22464,,,,,63.0,,413.0,23.0
