Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest
2872,763.0,,133.0,53.0,,,,
2875,36001.0,36001.0,36001.0,36001.0,,,,
2876,630.0,630.0,0.0,0.0,,,,
2884,23.0,,,,,123.0,,123.0
2901,,,,,750.0,,,60.0
2878,253.0,183.0,1143.0,1213.0,,,,
1835,520.0,,160.0,160.0,,,,
1946,,,,,,,,
2896,1432.0,1432.0,,,,242.0,,242.0
2905,,,,207.0,,,,
22905,,,,,,209.0,,
2907,,431.0,371.0,,,,,
2906,295.0,,745.0,,,,,
2904,,,,,,,,
3266,,370.0,,,,,,
2900,,,,,,,,
2899,,,,,,,,129.0
22899,,,,,,,,127.0
1929,,,36001.0,,,,,
793,,,,,,,,36001.0
2895,,36001.0,36001.0,,,,,
2407,,,,,,,303.0,
2897,679.0,199.0,679.0,199.0,,,,
2877,,,,17.0,,,,
2864,,,,,,,,
32864,,,,1055.0,,,,
52864,,,,1055.0,,,,
62864,,,,1055.0,,,,
2867,,,,,359.0,379.0,,
2823,,,,,36001.0,36001.0,36001.0,36001.0
22823,,,,,36001.0,,,
2829,,,,,121.0,191.0,,
3265,,,,,,907.0,,
2910,189.0,,889.0,,,,,
2879,209.0,209.0,269.0,269.0,,,,
2865,493.0,493.0,83.0,83.0,,,,
22865,,,,81.0,,,,
2830,,,,,1207.0,,,707.0
2889,1109.0,1109.0,,,,,,
2902,,,,,,171.0,,
22902,,,,,,171.0,,
32902,,,,,,171.0,,
2817,,,,,,,,467.0
2886,,,,,,19.0,,
2885,,,63.0,63.0,63.0,,63.0,
4781,,,,389.0,,,,
4781,,,,381.0,,,,
2912,,,,429.0,,,,
2871,1117.0,117.0,377.0,,,,,
22871,,,,375.0,,,,
3146,,,,,,,,539.0
2870,989.0,989.0,329.0,549.0,,,,
1921,,,,,,483.0,,
2869,,,207.0,207.0,957.0,,957.0,
2819,,,,,,475.0,,
2822,711.0,711.0,141.0,141.0,,,,
2913,,,,36001.0,,,,
31946,,,,36001.0,,,,
21835,,520.0,160.0,160.0,,,,
21850,,703.0,403.0,403.0,,,,
23331,,36001.0,36001.0,36001.0,,,,
21864,19.0,19.0,19.0,19.0,,,,
20158,,,681.0,681.0,,,,
3967,169.0,169.0,169.0,169.0,,,,
2866,,,101.0,101.0,,,,
458,285.0,285.0,245.0,285.0,,,,
20458,283.0,,283.0,,,,,
32865,493.0,,,,,,,
938,117.0,117.0,377.0,377.0,,,,
20938,119.0,,,,,,,
22864,183.0,,,,,,,
42864,,185.0,,,,,,
22870,327.0,,,,,,,
2862,755.0,755.0,755.0,755.0,,,,
2696,,,,,,187.0,,
2903,,,,,,,,
22903,,,,,,,,
22904,,,,,,,,
4755,,,,350.0,,,,
2117,,,,,267.0,847.0,197.0,1297.0
2638,227.0,,157.0,1007.0,,,,
734,,,,1105.0,,85.0,,
2359,,36001.0,,36001.0,,,,
1971,,,36001.0,,,,,
2382,,,,,,1175.0,,
2582,,,,,,,36001.0,1131.0
932,,,,,,36001.0,36001.0,36001.0
1963,,,,,,15.0,,
2423,561.0,561.0,411.0,511.0,,,,
2374,117.0,117.0,47.0,,,,,
3392,,,,58.0,,,,
1383,,,89.0,,,,,
910,,,1447.0,,,,,
2378,36001.0,36001.0,,,,36001.0,,36001.0
2340,,,36001.0,,,,,
2326,,,36001.0,,,,,
2352,,,36001.0,,,,,
2393,,,,103.0,983.0,283.0,983.0,283.0
2040,,,,,,,,
2349,,,,,0.0,,0.0,1240.0
22349,,,,,,900.0,,
2342,,,,,,1213.0,,
2379,,299.0,,219.0,,,,
186,,,,,,,,
2317,129.0,129.0,919.0,919.0,,,,
22379,,,,,,1041.0,,
1224,293.0,233.0,643.0,643.0,,,,
1225,,,,590.0,,,,
1226,47.0,,427.0,817.0,,,,
1228,,81.0,36001.0,901.0,,,,
1229,,,551.0,,,,,
3930,,,599.0,,,,,
1230,,,597.0,,,,,
1069,257.0,257.0,857.0,857.0,,,,
2264,581.0,181.0,,,,181.0,,581.0
2430,36001.0,36001.0,36001.0,36001.0,,,,
402,,,36001.0,36001.0,36001.0,,36001.0,
401,,,,,345.0,835.0,,
1168,,,,,95.0,,175.0,
21168,,,,,,95.0,,
645,,,,,131.0,,,131.0
646,60.0,,,,,,,
2705,,,36001.0,36001.0,36001.0,,36001.0,
22705,,,,,,36001.0,,
985,,,,,36001.0,36001.0,,36001.0
858,,,,,36001.0,36001.0,36001.0,36001.0
648,,,,,,1237.0,,
20648,,,,,,1237.0,,
30648,,,,,,1235.0,,
40648,,,,,,1237.0,,
412,,,,,1161.0,,,
1086,,,,,,,1173.0,
410,,,,,,287.0,1157.0,287.0
20410,,,,,1157.0,,,
643,,,,,115.0,,,
20643,,,,,,,113.0,
409,,,,,,160.0,1190.0,160.0
20409,,,,,,,1189.0,
408,,,,,1185.0,,,
20408,,,,,1185.0,,,
644,,301.0,,,,,,
20644,,299.0,,,,,,
423,,,,,,13.0,,
20423,,,,,,15.0,,
420,,,,,349.0,279.0,349.0,79.0
417,,,,,1073.0,1073.0,1073.0,1073.0
416,,,,,,1185.0,135.0,1185.0
20416,,,,,,,,
414,1081.0,1081.0,271.0,271.0,,,,
20414,,36001.0,,,,,,
411,,,,,,,1241.0,
406,51.0,,,401.0,,,,
20406,51.0,,,,,,,
432,,,,,151.0,91.0,151.0,951.0
430,,,,,,1069.0,,
429,36001.0,36001.0,,,36001.0,,36001.0,
427,,,,,,97.0,,
425,,,,,,99.0,,
426,,,,,,201.0,261.0,
424,,,,,209.0,1039.0,209.0,
672,,,,,,,153.0,
213,,,,,561.0,,,
214,,,,,525.0,935.0,125.0,935.0
673,,,461.0,,,461.0,461.0,
671,,,,,171.0,,,
209,,,,,199.0,,,299.0
4789,,,,,,117.0,1037.0,
210,,,,,,,491.0,
211,,,,,,,475.0,
212,,,,,721.0,61.0,401.0,
215,241.0,,,,,191.0,,
2479,,,,,,,392.0,
748,1081.0,,,141.0,,,,
20748,1083.0,,,,,,,
467,1117.0,,,,,,,
3148,,,,,763.0,,763.0,
23148,,,,,,,763.0,
1109,,,,,1045.0,115.0,1045.0,115.0
3150,,,,,,,36001.0,
3149,,993.0,,,,,,
1426,,811.0,,,,,,
468,,,,,36001.0,36001.0,36001.0,36001.0
3864,,,,,777.0,,,127.0
23864,,,,,917.0,127.0,,
470,,,,,1001.0,211.0,81.0,141.0
20470,,,,,1003.0,,,
1648,,,,,1089.0,279.0,869.0,
1649,759.0,,,,,,,
742,,,,,,,,19.0
2474,,,,,,867.0,327.0,867.0
2431,,,,,245.0,645.0,,
2445,,,,,,559.0,319.0,
2415,,,,,377.0,407.0,,
22415,,,,,,,377.0,
1662,,,,,,,325.0,
2435,,,,,,359.0,,
3962,,,,,,,751.0,
23962,,,,,,,751.0,
2458,,,699.0,699.0,,,,
22458,,,,,,,,
2444,,,885.0,,,,,
2500,,,,,,,,
22500,,437.0,,,,,,
2457,,,,,279.0,,,
2470,,,,,,751.0,,
2419,,,,,,20.0,760.0,
22419,,,,,760.0,,,
2408,,,,,,,59.0,
2434,,,,,299.0,359.0,299.0,
2443,,,,777.0,,,,
2465,,,,,,,,
2459,,690.0,690.0,690.0,,,,
3458,,,,,1411.0,451.0,1411.0,451.0
2456,,,,,169.0,,169.0,639.0
4004,415.0,,,785.0,,,,
2464,,,,,537.0,17.0,57.0,
22464,,,,,53.0,,403.0,13.0
2449,183.0,,,,,,,
22449,,,,183.0,,,,
1922,,,,,,,683.0,
2487,,,,,29.0,559.0,89.0,579.0
2495,,,,,,,19.0,
1923,,,,,,,0.0,
21923,,,,,,,377.0,
1924,,,,,187.0,,,
1832,,,,,,,179.0,
21832,,,,,,,,
1926,,,,,157.0,,,
2491,,,,,113.0,,,
2471,,,,,247.0,,,
22471,,,,,245.0,395.0,,395.0
2481,,,,,1189.0,,,
22481,,,,,1239.0,,,
4553,,,,,55.0,35.0,,
22459,89.0,,,,,,,
32449,181.0,,,,,,,
2451,245.0,245.0,,,,,,
3125,213.0,213.0,113.0,113.0,,,,
3590,,,,,825.0,345.0,825.0,55.0
3589,,,,,,121.0,,
3588,,,,,537.0,137.0,537.0,247.0
3592,,,,,251.0,,631.0,41.0
3595,,,,,109.0,599.0,109.0,599.0
3085,,,,,345.0,,345.0,
3587,,,,,379.0,439.0,,439.0
3185,,,,,267.0,,627.0,37.0
3598,,,,,303.0,683.0,,273.0
3599,,,,,175.0,675.0,175.0,675.0
3186,,,,,257.0,,627.0,27.0
3600,,,,,36001.0,36001.0,36001.0,36001.0
3601,,,,,,,,163.0
3602,,,,,297.0,247.0,297.0,87.0
3585,,,,,921.0,201.0,531.0,
3187,,,,,,,660.0,170.0
3610,,,,,439.0,669.0,439.0,669.0
2231,,,,,,,,165.0
3608,,,,,275.0,145.0,275.0,145.0
3607,,,,,893.0,163.0,483.0,
3188,,,,,,,729.0,
3189,,,,,,,693.0,63.0
3612,,,,,63.0,,,
3613,,,,,36001.0,,36001.0,36001.0
3617,,,,,36001.0,36001.0,36001.0,36001.0
3603,,,,,3.0,633.0,83.0,633.0
3614,,,,,,,719.0,59.0
3593,,,,,36001.0,36001.0,36001.0,36001.0
3611,,,,,,,,327.0
1294,,,,,,433.0,,
1296,,,,,,,,
3829,,,,,,,220.0,
3828,,,,,999.0,79.0,999.0,79.0
148,,,,,279.0,,,229.0
3811,,,,,,,,17.0
4674,,,,,,,,
3946,,,,,,36001.0,,
3304,,,,,,,159.0,229.0
3826,,,,,97.0,97.0,,97.0
3823,,,,,315.0,685.0,315.0,1025.0
3830,,,,,,,193.0,463.0
4672,,,,,,347.0,,
4672,,,,,,339.0,,
3880,,,,,147.0,747.0,147.0,747.0
3839,,,,,111.0,111.0,111.0,111.0
3882,,,,,45.0,765.0,45.0,765.0
3837,,,,,595.0,155.0,595.0,225.0
3838,,,,,,113.0,,
3808,,,,,97.0,987.0,97.0,247.0
149,,,,,,,,843.0
4697,,,,,,,,231.0
3820,,,,,913.0,173.0,913.0,593.0
2229,,,,,36001.0,36001.0,36001.0,36001.0
1219,,,,,,,,737.0
2688,,,,,,,97.0,
2261,,,,,,,95.0,
3665,,,,,,,33.0,113.0
3666,,,,,,619.0,,
3667,109.0,1349.0,,719.0,,,,
3668,331.0,61.0,,,,,,
2452,,,837.0,,,,,
3689,,377.0,,,1027.0,,,
2476,379.0,,,,179.0,,,
3852,36001.0,36001.0,,36001.0,36001.0,,,
4768,,,,,,,,
3637,,,,,,,,1017.0
3633,,,,,195.0,565.0,195.0,995.0
2421,,,1161.0,671.0,,91.0,,
4048,,,,,53.0,,,143.0
3362,,,621.0,,,,,
3690,143.0,,,,,,813.0,
2477,,,,,,,,261.0
23600,,,,,,,,36001.0
3591,,,,,,289.0,1039.0,
23591,,,,,337.0,,,
